id,observed_on_string,time_observed_at,user_login,url,image_url,Location details,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,tree species,percent canopy cover,tree diameter-centimeters,lichen percent north,lichen percent east,lichen percent south,lichen percent west,lichen air quality index score,bark ph,Comments
60731538,Fri Sep 25 2020 13:23:16 GMT-0400 (EDT),2020-09-25 17:23:16 UTC,sdiloreto2,https://www.inaturalist.org/observations/60731538,https://inaturalist-open-data.s3.amazonaws.com/photos/97130052/medium.jpg,"Saratoga Ln, Harleysville, PA, US",40.24701381,-75.3469645,Common Lichens,Lecanoromycetes,common lichens,Fungi,Robinia sp.,19.83,145.5,78,64,16,29,6,,
60739077,Fri Sep 25 2020 14:23:40 GMT-0400 (EDT),2020-09-25 18:23:40 UTC,livgrace99,https://www.inaturalist.org/observations/60739077,https://inaturalist-open-data.s3.amazonaws.com/photos/97141905/medium.jpg,"Shriver Field, Chestertown, MD, US",39.21780606,-76.07411875,,Lecanoromycetes,common lichens,Fungi,,,,,,,,,,
60748011,Fri Sep 25 2020 15:55:44 GMT-0400 (EDT),2020-09-25 19:55:44 UTC,danielle,https://www.inaturalist.org/observations/60748011,https://inaturalist-open-data.s3.amazonaws.com/photos/97156505/medium.jpg,"Adirondack Park, Peru, NY, US",44.54838904,-73.44862125,shield lichens and allies,Parmeliaceae,shield lichens and allies,Fungi,Red oak,45.1,27,32,41,15,8,3,6.2,
60827331,Sat Sep 26 2020 10:52:27 GMT-0400 (EDT),2020-09-26 14:52:27 UTC,livgrace99,https://www.inaturalist.org/observations/60827331,https://inaturalist-open-data.s3.amazonaws.com/photos/97287159/medium.jpg,"Shriver Field, Chestertown, MD, US",39.21814631,-76.07245721,,Lecanoromycetes,common lichens,Fungi,Fagus grandifolia,54.08,30.73,30,36,62,59,6,,
60832551,Sat Sep 26 2020 11:33:50 GMT-0400 (EDT),2020-09-26 15:33:50 UTC,livgrace99,https://www.inaturalist.org/observations/60832551,https://inaturalist-open-data.s3.amazonaws.com/photos/97294891/medium.jpg,"Shriver Field, Chestertown, MD, US",39.2180426,-76.07199201,Common Lichens,Lecanoromycetes,common lichens,Fungi,Salix sp.,45.85,31.5,13,12,9,9,6,,
60853533,Sat Sep 26 2020 14:18:03 GMT-0400 (EDT),2020-09-26 18:18:03 UTC,wreid2,https://www.inaturalist.org/observations/60853533,https://inaturalist-open-data.s3.amazonaws.com/photos/97328204/medium.jpg,"Old Cuthbert Rd, Cherry Hill, NJ, US",39.9097518,-74.98116939,Common Lichens,Parmelioideae,typical shield lichens,Fungi,Red Maple,63.38,32.67,67,56,70,59,6,,
60870017,Sat Sep 26 2020 16:03:25 GMT-0400 (EDT),2020-09-26 20:03:25 UTC,wreid2,https://www.inaturalist.org/observations/60870017,https://inaturalist-open-data.s3.amazonaws.com/photos/97355084/medium.jpg,"Walt Whitman Ave, Mount Laurel, NJ, US",39.95822833,-74.92378333,Lecanoromycetes,Lecanoromycetes,common lichens,Fungi,Scrub Cypress Pine,15.06,199.39,45,32,0,26,6,,
60886288,2020-09-26 1:25:26 PM EDT,2020-09-26 17:25:26 UTC,zblackwell2,https://www.inaturalist.org/observations/60886288,https://inaturalist-open-data.s3.amazonaws.com/photos/97381577/medium.jpeg,"Russett, MD 20724, USA",39.113644,-76.80425097,,Lecanoromycetes,common lichens,Fungi,Zelkova serrata,75.29,33.15,8,7,9,10,6,4,
60887431,2020-09-26 1:46:09 PM EDT,2020-09-26 17:46:09 UTC,zblackwell2,https://www.inaturalist.org/observations/60887431,https://inaturalist-open-data.s3.amazonaws.com/photos/97383294/medium.jpeg,"Russett, MD 20724, USA",39.11368,-76.804377,,Lecanoromycetes,common lichens,Fungi,Zelkova serrata,68.71,34.36,7,44,18,6,6,4,
60888052,2020-09-26 1:46:09 PM EDT,2020-09-26 17:46:09 UTC,zblackwell2,https://www.inaturalist.org/observations/60888052,https://inaturalist-open-data.s3.amazonaws.com/photos/97386472/medium.jpeg,"Russett, MD 20724, USA",39.11368,-76.804377,,Lecanoromycetes,common lichens,Fungi,Zelkova serrata,69.05,38,7,33,8,2,6,4,
60888883,2020-09-26 2:25:47 PM EDT,2020-09-26 18:25:47 UTC,zblackwell2,https://www.inaturalist.org/observations/60888883,https://inaturalist-open-data.s3.amazonaws.com/photos/97385657/medium.jpeg,"Russett, MD 20724, USA",39.11572,-76.804579,,Lecanoromycetes,common lichens,Fungi,,61.69,36.71,45,17,15,53,9,3.5,
60889672,2020-09-26 2:26:15 PM EDT,2020-09-26 18:26:15 UTC,zblackwell2,https://www.inaturalist.org/observations/60889672,https://inaturalist-open-data.s3.amazonaws.com/photos/97386827/medium.jpeg,"Russett, MD 20724, USA",39.11562597,-76.804484,,Lecanoromycetes,common lichens,Fungi,,60.92,37.19,68,55,85,20,9,3.5,
60897837,Sat Sep 26 2020 17:24:09 GMT-0400 (EDT),2020-09-26 21:24:09 UTC,najeyah_altamimi,https://www.inaturalist.org/observations/60897837,https://static.inaturalist.org/photos/97400032/medium.jpg,"Washington College, Chestertown, MD, US",39.220863,-76.07082741,,Lecanoromycetes,common lichens,Fungi,Prunus serrulata,8.41,43.65,89,46,89,22,6,,
60898159,Sat Sep 26 2020 17:46:44 GMT-0400 (EDT),2020-09-26 21:46:44 UTC,najeyah_altamimi,https://www.inaturalist.org/observations/60898159,https://static.inaturalist.org/photos/97400722/medium.jpg,"Washington College, Chestertown, MD, US",39.2208765,-76.07084535,,Lecanoromycetes,common lichens,Fungi,Prunus serrulata,19.86,46.57,66,25,31,57,6,,
60898747,Sat Sep 26 2020 17:55:34 GMT-0400 (EDT),2020-09-26 21:55:34 UTC,najeyah_altamimi,https://www.inaturalist.org/observations/60898747,https://static.inaturalist.org/photos/97401782/medium.jpg,"Washington College, Chestertown, MD, US",39.22080014,-76.07084971,,Lecanoromycetes,common lichens,Fungi,Prunus serrulata,24.38,43.19,47,29,19,48,6,,
60899288,Sat Sep 26 2020 17:59:04 GMT-0400 (EDT),2020-09-26 21:59:04 UTC,najeyah_altamimi,https://www.inaturalist.org/observations/60899288,https://static.inaturalist.org/photos/97402782/medium.jpg,"Washington College, Chestertown, MD, US",39.22089712,-76.07081719,,Lecanoromycetes,common lichens,Fungi,Prunus serrulata,31.11,21.96,76,23,24,73,6,,
60900342,Sat Sep 26 2020 18:54:34 GMT-0400 (EDT),2020-09-26 22:54:34 UTC,juliestclair,https://www.inaturalist.org/observations/60900342,https://inaturalist-open-data.s3.amazonaws.com/photos/97404279/medium.jpg,"Washington College, Chestertown, MD, US",39.22112833,-76.07031383,Lecanoromycetes,Lecanoromycetes,common lichens,Fungi,Acer freemanii,63.75,32.5,92,36,10,24,6,,
60902135,Sat Sep 26 2020 19:48:49 GMT-0400 (EDT),2020-09-26 23:48:49 UTC,juliestclair,https://www.inaturalist.org/observations/60902135,https://inaturalist-open-data.s3.amazonaws.com/photos/97407682/medium.jpg,"Washington College, Chestertown, MD, US",39.22087685,-76.06989084,Lecanoromycetes,Lecanoromycetes,common lichens,Fungi,Quercus phellos,85.75,40.3,83,72,65,76,6,,
60904805,Sat Sep 26 2020 15:33:13 GMT-0400 (EDT),2020-09-26 19:33:13 UTC,clairespears,https://www.inaturalist.org/observations/60904805,https://inaturalist-open-data.s3.amazonaws.com/photos/97412087/medium.jpg,"Village Lake Way, Easton, MD, US",38.77573,-76.09490283,,Lecanoromycetes,common lichens,Fungi,Quercus alba,46.82,42,54,69,36,29,6,,
60905396,Sat Sep 26 2020 15:44:19 GMT-0400 (EDT),2020-09-26 19:44:19 UTC,clairespears,https://www.inaturalist.org/observations/60905396,https://inaturalist-open-data.s3.amazonaws.com/photos/97413268/medium.jpg,"Hemmersley St, Easton, MD, US",38.77500833,-76.09467217,,Lecanoromycetes,common lichens,Fungi,Quercus alba,37.45,37,84,86,58,62,6,,
60905775,Sat Sep 26 2020 15:58:22 GMT-0400 (EDT),2020-09-26 19:58:22 UTC,clairespears,https://www.inaturalist.org/observations/60905775,https://inaturalist-open-data.s3.amazonaws.com/photos/97413871/medium.jpg,"Hemmersley St, Easton, MD, US",38.77504667,-76.09485,,Lecanoromycetes,common lichens,Fungi,Quercus falcata,47.69,29,23,32,15,9,6,,
60906000,Sat Sep 26 2020 16:11:12 GMT-0400 (EDT),2020-09-26 20:11:12 UTC,clairespears,https://www.inaturalist.org/observations/60906000,https://inaturalist-open-data.s3.amazonaws.com/photos/97414277/medium.jpg,"Hemmersley St, Easton, MD, US",38.774945,-76.0948195,,Lecanoromycetes,common lichens,Fungi,Quercus stellata,23.71,47,27,34,15,16,6,,
60906366,Sat Sep 26 2020 16:21:42 GMT-0400 (EDT),2020-09-26 20:21:42 UTC,clairespears,https://www.inaturalist.org/observations/60906366,https://inaturalist-open-data.s3.amazonaws.com/photos/97414963/medium.jpg,"Hemmersley St, Easton, MD, US",38.77505,-76.09478883,,Lecanoromycetes,common lichens,Fungi,Quercus rubra,21.96,50.6,23,67,30,38,6,,
60973228,Sun Sep 27 2020 11:46:34 GMT-0400 (EDT),2020-09-27 15:46:34 UTC,livgrace99,https://www.inaturalist.org/observations/60973228,https://inaturalist-open-data.s3.amazonaws.com/photos/97527590/medium.jpg,"Shriver Field, Chestertown, MD, US",39.21783599,-76.07211229,,Lecanoromycetes,common lichens,Fungi,Salix sp.,32.91,25.47,35,44,64,37,6,,
61049497,2020/09/25 11:06 AM UTC,2020-09-25 11:06:00 UTC,alyssakaat,https://www.inaturalist.org/observations/61049497,https://inaturalist-open-data.s3.amazonaws.com/photos/97652876/medium.jpg,"18012 Bollinger Canyon Rd, San Ramon, CA 94583, USA",37.8158101,-122.0407758,,Lecanoromycetes,common lichens,Fungi,Quercus sp.,96.4,75.6,84,40,36,0,6,,
61051076,2020/09/25 11:32 AM UTC,2020-09-25 11:32:00 UTC,alyssakaat,https://www.inaturalist.org/observations/61051076,https://inaturalist-open-data.s3.amazonaws.com/photos/97655695/medium.jpg,"18012 Bollinger Canyon Rd, San Ramon, CA 94583, USA",37.8158101,-122.0407758,,Lecanoromycetes,common lichens,Fungi,Quercus sp.,96.9,66,31,30,16,11,6,,
61052009,2020/09/25 11:44 AM UTC,2020-09-25 11:44:00 UTC,alyssakaat,https://www.inaturalist.org/observations/61052009,https://inaturalist-open-data.s3.amazonaws.com/photos/97657252/medium.jpg,"18012 Bollinger Canyon Rd, San Ramon, CA 94583, USA",37.8158101,-122.0407758,,Lecanoromycetes,common lichens,Fungi,Quercus sp.,94.75,43.7,1,21,14,7,6,,
61053213,2020/09/25 11:57 AM UTC,2020-09-25 11:57:00 UTC,alyssakaat,https://www.inaturalist.org/observations/61053213,https://inaturalist-open-data.s3.amazonaws.com/photos/97659359/medium.jpg,"18012 Bollinger Canyon Rd, San Ramon, CA 94583, USA",37.8158101,-122.0407758,,Lecanoromycetes,common lichens,Fungi,Quercus sp.,95.5,44.5,28,22,81,83,6,,
61054039,2020/09/25 12:13 PM UTC,2020-09-25 12:13:00 UTC,alyssakaat,https://www.inaturalist.org/observations/61054039,https://inaturalist-open-data.s3.amazonaws.com/photos/97661068/medium.jpg,"18012 Bollinger Canyon Rd, San Ramon, CA 94583, USA",37.8158101,-122.0407758,,Lecanoromycetes,common lichens,Fungi,Quercus sp.,92.18,52,25,12,83,51,6,,
61110138,Fri Sep 25 2020 14:33:33 GMT-0400 (EDT),2020-09-25 18:33:33 UTC,dodsworthemma,https://www.inaturalist.org/observations/61110138,https://inaturalist-open-data.s3.amazonaws.com/photos/97757696/medium.jpg,"Shriver Field, Chestertown, MD, US",39.21838379,-76.0749563,,Lecanoromycetes,common lichens,Fungi,Quercus fulcata,90.21,79.3,12,27,94,40,3,,
61110722,Fri Sep 25 2020 15:02:02 GMT-0400 (EDT),2020-09-25 19:02:02 UTC,dodsworthemma,https://www.inaturalist.org/observations/61110722,https://inaturalist-open-data.s3.amazonaws.com/photos/97758730/medium.jpg,"Washington College, Chestertown, MD, US",39.21917725,-76.06993394,Common Lichens,Lecanoromycetes,common lichens,Fungi,,39.38,39.38,49,12,18,3,6,,
61111446,Fri Sep 25 2020 15:22:52 GMT-0400 (EDT),2020-09-25 19:22:52 UTC,dodsworthemma,https://www.inaturalist.org/observations/61111446,https://inaturalist-open-data.s3.amazonaws.com/photos/97760150/medium.jpg,"Washington College, Chestertown, MD, US",39.21920776,-76.07000613,,Lecanoromycetes,common lichens,Fungi,Marus alba,21.09,22.6,27,0,0,28,6,,
61111842,Fri Sep 25 2020 15:34:51 GMT-0400 (EDT),2020-09-25 19:34:51 UTC,dodsworthemma,https://www.inaturalist.org/observations/61111842,https://inaturalist-open-data.s3.amazonaws.com/photos/97760888/medium.jpg,"High St, Chestertown, MD, US",39.21749878,-76.07147768,,Lecanoromycetes,common lichens,Fungi,Marus alba,35.45,24.8,64,0,9,15,6,,
61112350,Fri Sep 25 2020 15:59:44 GMT-0400 (EDT),2020-09-25 19:59:44 UTC,dodsworthemma,https://www.inaturalist.org/observations/61112350,https://inaturalist-open-data.s3.amazonaws.com/photos/97761671/medium.jpg,"Morgnec Rd, Chestertown, MD, US",39.2177124,-76.07559077,,Lecanoromycetes,common lichens,Fungi,Quercus phellos,27.53,31.5,2,8,0,8,6,,
61113924,Mon Sep 28 2020 12:33:57 GMT-0400 (EDT),2020-09-28 16:33:57 UTC,ziagul,https://www.inaturalist.org/observations/61113924,https://inaturalist-open-data.s3.amazonaws.com/photos/97786410/medium.jpg,"Main St E, Snellville, GA, US",33.85565872,-84.00749581,Common Lichens,Flavoparmelia,greenshield lichens,Fungi,True Mosses,12.33,120,25,36,59,10,3,6,
61123764,Mon Sep 28 2020 10:53:46 GMT-0700 (PDT),2020-09-28 17:53:46 UTC,leilanisingh,https://www.inaturalist.org/observations/61123764,https://static.inaturalist.org/photos/97779768/medium.jpg,"Benicia, CA, US",38.09528683,-122.184277,Common Lichens,Lecanoromycetes,common lichens,Fungi,Brown Dogwood,1.81,90.17,70,0,10,80,9,3.5,
61124050,Mon Sep 28 2020 10:56:16 GMT-0700 (PDT),2020-09-28 17:56:16 UTC,leilanisingh,https://www.inaturalist.org/observations/61124050,https://static.inaturalist.org/photos/97790641/medium.jpg,"Channing Circle Park, Benicia, CA, US",38.09469178,-122.1833295,Common Lichens,Lecanoromycetes,common lichens,Fungi,Brown Dogwood,1.81,90.17,70,0,10,80,9,3.5,
61124339,Mon Sep 28 2020 10:57:47 GMT-0700 (PDT),2020-09-28 17:57:47 UTC,leilanisingh,https://www.inaturalist.org/observations/61124339,https://static.inaturalist.org/photos/97780730/medium.jpg,"Channing Cir, Benicia, CA, US",38.09465582,-122.1833751,Common Lichens,Lecanoromycetes,common lichens,Fungi,Brown Dogwood,1.81,90.17,70,0,10,80,9,3.5,
61124833,Mon Sep 28 2020 11:01:31 GMT-0700 (PDT),2020-09-28 18:01:31 UTC,leilanisingh,https://www.inaturalist.org/observations/61124833,https://static.inaturalist.org/photos/97781615/medium.jpg,"Channing Circle Park, Benicia, CA, US",38.09482149,-122.1833558,Common Lichens,Lecanoromycetes,common lichens,Fungi,Brown Dogwood,1.81,90.17,70,0,10,80,9,3.5,
